Row #,Species,Count,Location,S/P,Date,LocID,SubID
299,Bermuda Petrel,1,BBC Pelagic 21 Sep 2019 - leg K,US-MA,21 Sep 2019,L9950553,S60066325
300,Black-capped Petrel,1,"(28.586, -79.9)",US-FL,19 May 2018,L7441083,S45870969
301,Cory's Shearwater,1,Orient Point to New London Ferry (NY side),US-NY,27 Jul 2018,L1358358,S47484436
302,Pink-footed Shearwater,1,Queen Charlotte Sound,CA-BC,04 Sep 2018,L2357800,S48297871
303,Great Shearwater,2,"Steuben, Maine, US (44.352, -67.886)",US-ME,01 Jul 2018,L7657861,S46940153
304,Buller's Shearwater,2,"(59.738, -144.025)",US-AK,27 Aug 2018,L7867758,S48112532
305,Sooty Shearwater,2,"(59.792, -144.65)",US-AK,27 Aug 2018,L7867119,S48108471
306,Audubon's Shearwater,1,Yankee Freedom III route,US-FL,22 Mar 2018,L7111086,S43910369
307,Saddle-billed Stork,1,Lake Manyara NP (Arusha Province),TZ-01,30 Jul 2017,L1033409,S38502540
308,Marabou Stork,6,"Serengeti National Park, Tanzania",TZ-22,24 Jul 2017,L6151126,S38472765
309,Wood Stork,1,"13652-13682 Fiddlesticks Boulevard, Fort Myers, Florida, US (26.545, -81.804)",US-FL,11 Aug 2017,L6172662,S38592407
310,Yellow-billed Stork,1,Northern Serengeti National Park (Mara Region),TZ-13,25 Jul 2017,L6151339,S38474013
311,Magnificent Frigatebird,12,Bowmans Beach Regional Park,US-FL,07 Nov 2017,L476488,S40366295
312,Masked Booby,62,Dry Tortugas NP--Garden Key,US-FL,22 Mar 2018,L127452,S43914060
313,Brown Booby,1,Dry Tortugas NP--Garden Key,US-FL,22 Mar 2018,L127452,S43914060
314,Northern Gannet,2,"(44.168, -67.681)",US-ME,01 Jul 2018,L7658187,S46942070
315,Anhinga,5,Six Mile Cypress Slough Preserve,US-FL,29 Oct 2016,L424819,S38539035
316,Pelagic Cormorant,1,"1200 4th Avenue, Seward, Alaska, US (60.115, -149.437)",US-AK,24 Aug 2018,L7858079,S48053709
317,Great Cormorant,5,Harkness Memorial SP,US-CT,19 Nov 2018,L297947,S50058483
318,Neotropic Cormorant,2,"Unnamed Road, El Chirú, PA (8.317, -80.205)",PA-2,10 Apr 2018,L7203760,S44445026
319,Double-crested Cormorant,2,Hartford Reservoir No. 6,US-CT,10 Aug 2017,L607644,S38574234
320,American White Pelican,11,Lovers Key SP,US-FL,26 Oct 2017,L160668,S40131693
321,Brown Pelican,,Hurricane Bay,US-FL,10 Oct 2015,L6189690,S38686627
322,Peruvian Pelican,4,"1301 Avenida Jose Larco, Miraflores, Gobierno Regional de Lima, PE (-12.131, -77.03)",PE-LIM,03 Mar 2019,L8727366,S53315045
323,Great White Pelican,,Lake Manyara NP (Arusha Province),TZ-01,30 Jul 2017,L1033409,S38502540
324,Hamerkop,2,"Serengeti National Park, Tanzania",TZ-22,24 Jul 2017,L6151126,S38472765
325,American Bittern,1,Lake Trafford--Annie Olesky Park,US-FL,28 Jan 2017,L782931,S38686694
326,Least Bittern,1,Green Cay Wetlands & Nature Center,US-FL,05 Mar 2018,L246929,S43402852
327,Bare-throated Tiger-Heron,4,Villa Lapas,CR-P,09 May 2019,L585101,S56053451
328,Great Blue Heron,,Hurricane Bay,US-FL,10 Oct 2015,L6189690,S38686627
329,Gray Heron,5,Lake Manyara NP (Arusha Province),TZ-01,30 Jul 2017,L1033409,S38502540
330,Cocoi Heron,1,"Saquena, Loreto, PE (-4.506, -73.422)",PE-LOR,05 Mar 2019,L8820142,S53643426
331,Goliath Heron,1,Lake Manyara NP (Arusha Province),TZ-01,30 Jul 2017,L1033409,S38502540
332,Purple Heron,3,Park HaYarkon פארק הירקון,IL-TA,07 Sep 2019,L1103236,S59569916
333,Great Egret,1,Tarangire NP,TZ-26,01 Aug 2017,L1044008,S38530008
334,Little Egret,2,"Shlomo Lahat Promenade, Tel Aviv-Yafo, Tel Aviv District, IL (32.083, 34.768)",IL-TA,05 Sep 2019,L9878661,S59524192
335,Snowy Egret,1,J. N. Ding Darling NWR--Wildlife Drive,US-FL,15 Feb 2014,L823147,S38686563
336,Little Blue Heron,1,San Carlos Bay/Bunche Beach Preserve,US-FL,13 Aug 2017,L301036,S38620018
337,Tricolored Heron,1,J. N. Ding Darling NWR--Wildlife Drive,US-FL,15 Feb 2014,L823147,S38686563
338,Reddish Egret,3,San Carlos Bay/Bunche Beach Preserve,US-FL,13 Aug 2017,L301036,S38620018
339,Cattle Egret,3,Harns Marsh,US-FL,05 Oct 2017,L830108,S39564130
340,Green Heron,1,High Acres Nature Area,US-NY,26 Aug 2017,L418669,S38857271
341,Striated Heron,2,"Unknown Location - (-3.818, -73.321)",PE-LOR,04 Mar 2019,L8820083,S53643161
342,Capped Heron,1,"Unknown Location - (-3.818, -73.321)",PE-LOR,04 Mar 2019,L8820083,S53643161
343,Black-crowned Night-Heron,1,Six Mile Cypress Slough Preserve,US-FL,27 Mar 2016,L424819,S38686660
344,Yellow-crowned Night-Heron,2,J. N. Ding Darling NWR--Wildlife Drive,US-FL,20 Aug 2017,L823147,S38729364
345,Boat-billed Heron,3,Río Tarcoles--Boat Tour,CR-P,10 May 2019,L1456779,S56102081
346,White Ibis,9,Six Mile Cypress Slough Preserve,US-FL,29 Oct 2016,L424819,S38539035
347,Glossy Ibis,4,Lake Manyara NP (Arusha Province),TZ-01,30 Jul 2017,L1033409,S38502540
348,White-faced Ibis,13,Pesqueira Pit,US-AZ,19 Sep 2018,L7243338,S48634886
349,African Sacred Ibis,2,Ngorongoro Conservation Area--Ngorongoro Crater,TZ-01,29 Jul 2017,L951508,S38489237
350,Hadada Ibis,1,Lake Manyara NP (Arusha Province),TZ-01,30 Jul 2017,L1033409,S38502540
351,Roseate Spoonbill,,J. N. Ding Darling NWR--Wildlife Drive,US-FL,15 Feb 2014,L823147,S38686563
352,Black Vulture,2,"The Plantation (Restricted Access), Fort Myers, FL",US-FL,30 Sep 2017,L6319667,S39483418
353,Turkey Vulture,,High Acres Nature Area,US-NY,26 Aug 2017,L418669,S38857271
354,Lesser Yellow-headed Vulture,2,"Unnamed Road, El Chirú, Provincia de Coclé, PA (8.333, -80.212)",PA-2,10 Apr 2018,L7203773,S44445058
355,Greater Yellow-headed Vulture,3,"Fernando Lores, Loreto, PE (-4.182, -73.362)",PE-LOR,05 Mar 2019,L8820105,S53643265
356,Secretarybird,1,Eastern Serengeti Thomson Enashiva Camp,TZ-01,24 Jul 2017,L6149970,S38470164
357,Osprey,1,Hurricane Bay,US-FL,10 Oct 2015,L6189690,S38686627
358,White-tailed Kite,1,Las Cienegas NCA--South Entrance (Santa Cruz Co.),US-AZ,18 Sep 2018,L765457,S48604550
359,Swallow-tailed Kite,1,Harns Marsh,US-FL,27 Feb 2018,L830108,S43233206
360,Lappet-faced Vulture,1,"Serengeti National Park, Tanzania",TZ-22,24 Jul 2017,L6151126,S38472765
