Row #,Species,Count,Location,S/P,Date,LocID,SubID
231,American Robin,8,Harns Marsh,US-FL,06 Jan 2018,L830108,S41671901
232,Red-legged Thrush,1,Lantana Nature Preserve,US-FL,25 Apr 2019,L1293707,S55400945
233,Cedar Waxwing,13,"Pearl Feeders, Alva (Whites' Feeders)",US-FL,26 Jan 2018,L6724846,S42256323
234,Scaly-breasted Munia,13,Pine Woods Park,US-FL,10 Nov 2018,L5584024,S49822958
235,House Sparrow,1,Bowditch Point Park,US-FL,26 Oct 2017,L337347,S40129407
236,House Finch,1,Delnor-Wiggins Pass SP,US-FL,03 Nov 2019,L833946,S61143707
237,American Goldfinch,1,"Pearl Feeders, Alva (Whites' Feeders)",US-FL,15 Jan 2018,L6724846,S41948244
238,Bachman's Sparrow,1,Babcock-Webb WMA,US-FL,19 Apr 2018,L127396,S44720565
239,Grasshopper Sparrow,2,Alva Scrub #195,US-FL,12 Mar 2018,L2921335,S43586196
240,Chipping Sparrow,4,Oscar Scherer SP,US-FL,05 Feb 2018,L127350,S42521196
241,Clay-colored Sparrow,1,Dinner Island Ranch WMA,US-FL,07 Jan 2019,L840220,S51444192
242,Lark Sparrow,1,Oscar Scherer SP,US-FL,05 Feb 2018,L127350,S42521196
243,White-crowned Sparrow,1,Celery Fields--South Cell,US-FL,31 Jan 2019,L1241076,S52225242
244,Savannah Sparrow,1,Harns Marsh,US-FL,05 Oct 2017,L830108,S39564130
245,Lincoln's Sparrow,2,Dinner Island Ranch WMA,US-FL,07 Jan 2019,L840220,S51444192
246,Swamp Sparrow,3,Dinner Island Ranch WMA,US-FL,07 Jan 2019,L840220,S51444192
247,Spotted Towhee,1,Dr. Von D. Mizell-Eula Johnson SP,US-FL,13 Apr 2019,L5744252,S54896618
248,Eastern Towhee,2,Charlotte Harbor Buffer Preserve,US-FL,06 Feb 2018,L298435,S42539216
249,Western Spindalis,1,Crandon Park,US-FL,21 Feb 2019,L127422,S52993125
250,Yellow-breasted Chat,1,Lakes Regional Park,US-FL,15 Mar 2018,L305312,S43664871
251,Yellow-headed Blackbird,3,Sem-Chi Rice Mill,US-FL,18 Mar 2018,L4478244,S43744697
252,Bobolink,1,Point Ybel Lighthouse Beach Park,US-FL,28 Apr 2019,L127398,S55508094
253,Eastern Meadowlark,1,"11201 Daniels Parkway, Fort Myers, Florida, US (26.548, -81.772)",US-FL,30 Oct 2017,L6427022,S40215546
254,Orchard Oriole,2,Point Ybel Lighthouse Beach Park,US-FL,06 Apr 2018,L127398,S44293781
255,Baltimore Oriole,1,Fort De Soto Park,US-FL,16 Apr 2018,L127332,S44634594
256,Red-winged Blackbird,15,Wild Turkey Strand Preserve,US-FL,04 Nov 2017,L1903106,S40306833
257,Shiny Cowbird,2,Sem-Chi Rice Mill,US-FL,10 Feb 2019,L4478244,S52550988
258,Bronzed Cowbird,1,Celery Fields,US-FL,12 Nov 2018,L234146,S49880749
259,Brown-headed Cowbird,6,Celery Fields,US-FL,15 Jan 2018,L234146,S41928658
260,Common Grackle,3,Corkscrew Swamp Sanctuary,US-FL,15 Aug 2017,L127407,S38656353
261,Boat-tailed Grackle,1,"13260 Intrepid Lane, Fort Myers, Florida, US (26.552, -81.782)",US-FL,18 Aug 2017,L6191841,S38700023
262,Ovenbird,1,Corkscrew Swamp Sanctuary,US-FL,18 Feb 2018,L127407,S42925746
263,Worm-eating Warbler,1,Point Ybel Lighthouse Beach Park,US-FL,06 Apr 2018,L127398,S44293781
264,Louisiana Waterthrush,1,Big Cypress National Preserve--Kirby Storter Roadside Park & Boardwalk ,US-FL,24 Feb 2018,L638541,S43139973
265,Northern Waterthrush,1,Corkscrew Swamp Sanctuary,US-FL,15 Aug 2017,L127407,S38656353
266,Golden-winged Warbler,1,Point Ybel Lighthouse Beach Park,US-FL,21 Apr 2019,L127398,S55210235
267,Blue-winged Warbler,3,Fort De Soto Park,US-FL,20 Apr 2019,L127332,S55185808
268,Black-and-white Warbler,1,"Cullum's Bonita Trail, Bonita Springs, Florida, US (26.337, -81.746)",US-FL,02 Nov 2017,L6433964,S40268334
269,Prothonotary Warbler,3,Point Ybel Lighthouse Beach Park,US-FL,06 Apr 2018,L127398,S44293781
270,Tennessee Warbler,3,Fort De Soto Park,US-FL,16 Apr 2018,L127332,S44634594
